time,open,high,low,close,tick_volume,spread,real_volume
1761738300.0,151090.0,151110.0,151040.0,151070.0,6720.0,0.0,82658.0
1761738600.0,151070.0,151260.0,151065.0,151240.0,13347.0,0.0,151842.0
1761738900.0,151240.0,151310.0,151160.0,151290.0,13740.0,0.0,148334.0
1761739200.0,151290.0,151410.0,151280.0,151385.0,13808.0,0.0,132334.0
1761739500.0,151390.0,151425.0,151305.0,151325.0,13460.0,0.0,133088.0
1761739800.0,151325.0,151370.0,151270.0,151335.0,8759.0,0.0,99200.0
1761740100.0,151335.0,151555.0,151330.0,151425.0,19133.0,0.0,229081.0
1761740400.0,151425.0,151435.0,151340.0,151385.0,9437.0,0.0,97031.0
1761740700.0,151390.0,151400.0,151325.0,151335.0,5916.0,0.0,66156.0
1761741000.0,151335.0,151375.0,151270.0,151295.0,8676.0,0.0,103314.0
1761741300.0,151295.0,151430.0,151290.0,151400.0,9810.0,0.0,116441.0
1761741600.0,151405.0,151455.0,151360.0,151430.0,8658.0,0.0,100963.0
1761741900.0,151430.0,151455.0,151370.0,151385.0,5346.0,0.0,60289.0
1761742200.0,151390.0,151410.0,151345.0,151375.0,5584.0,0.0,60177.0
1761742500.0,151370.0,151395.0,151340.0,151360.0,4317.0,0.0,54600.0
1761742800.0,151365.0,151460.0,151340.0,151440.0,7531.0,0.0,89552.0
1761743100.0,151440.0,151475.0,151375.0,151420.0,7546.0,0.0,110829.0
1761743400.0,151415.0,151460.0,151370.0,151435.0,6043.0,0.0,74209.0
1761743700.0,151440.0,151455.0,151400.0,151425.0,3792.0,0.0,44981.0
1761744000.0,151430.0,151495.0,151410.0,151470.0,5182.0,0.0,67501.0
1761744300.0,151475.0,151495.0,151430.0,151470.0,4499.0,0.0,53428.0
1761744600.0,151465.0,151530.0,151465.0,151505.0,7053.0,0.0,82002.0
1761744900.0,151505.0,151545.0,151475.0,151480.0,5726.0,0.0,64070.0
1761745200.0,151480.0,151530.0,151470.0,151520.0,3652.0,0.0,38345.0
1761745500.0,151520.0,151590.0,151505.0,151535.0,8250.0,0.0,102806.0
1761745800.0,151535.0,151635.0,151535.0,151595.0,5816.0,0.0,72955.0
1761746100.0,151595.0,151635.0,151595.0,151630.0,3124.0,0.0,30445.0
1761746100.0,151595.0,151635.0,151595.0,151630.0,3124.0,0.0,30445.0
1761746100.0,151595.0,151640.0,151595.0,151635.0,3423.0,0.0,33791.0
1761746100.0,151595.0,151645.0,151595.0,151625.0,3980.0,0.0,39832.0
1761746100.0,151595.0,151645.0,151595.0,151625.0,4167.0,0.0,41322.0
1761746100.0,151595.0,151645.0,151595.0,151630.0,4344.0,0.0,44418.0
1761746100.0,151595.0,151645.0,151595.0,151630.0,4503.0,0.0,46054.0
1761746100.0,151595.0,151645.0,151595.0,151630.0,4624.0,0.0,47138.0
1761746100.0,151595.0,151645.0,151595.0,151630.0,4740.0,0.0,48275.0
1761746100.0,151595.0,151645.0,151595.0,151630.0,4878.0,0.0,49403.0
1761746100.0,151595.0,151645.0,151595.0,151640.0,5009.0,0.0,51053.0
1761746100.0,151595.0,151645.0,151595.0,151630.0,5146.0,0.0,52338.0
1761746100.0,151595.0,151645.0,151595.0,151630.0,5304.0,0.0,54480.0
1761746100.0,151595.0,151645.0,151595.0,151635.0,5404.0,0.0,55287.0
1761746100.0,151595.0,151645.0,151595.0,151625.0,5495.0,0.0,56074.0
1761746100.0,151595.0,151665.0,151595.0,151655.0,8065.0,0.0,84304.0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1761747000.0,151590.0,151690.0,151590.0,151680.0,7537.0,0.0,87500.0
1761747000.0,151590.0,151695.0,151590.0,151690.0,8027.0,0.0,93509.0
1761747000.0,151590.0,151740.0,151590.0,151730.0,9398.0,0.0,122731.0
1761747000.0,151590.0,151740.0,151590.0,151710.0,10033.0,0.0,128807.0
1761747000.0,151590.0,151740.0,151590.0,151695.0,10699.0,0.0,134793.0
1761747000.0,151590.0,151740.0,151590.0,151695.0,11300.0,0.0,140499.0
1761747000.0,151590.0,151740.0,151590.0,151710.0,11575.0,0.0,143191.0
1761747000.0,151590.0,151740.0,151590.0,151710.0,11794.0,0.0,146290.0
1761747000.0,151590.0,151740.0,151590.0,151720.0,12003.0,0.0,148420.0
1761747000.0,151590.0,151740.0,151590.0,151715.0,12176.0,0.0,150394.0
1761747000.0,151590.0,151740.0,151590.0,151710.0,12336.0,0.0,151730.0
1761747000.0,151590.0,151740.0,151590.0,151715.0,12534.0,0.0,153017.0
1761747300.0,151715.0,151715.0,151710.0,151715.0,82.0,0.0,265.0
1761747300.0,151715.0,151730.0,151705.0,151725.0,351.0,0.0,4337.0
1761747300.0,151715.0,151730.0,151705.0,151715.0,631.0,0.0,6891.0
1761747300.0,151715.0,151730.0,151690.0,151710.0,2192.0,0.0,22931.0
1761747300.0,151715.0,151730.0,151680.0,151695.0,3985.0,0.0,43136.0
1761747300.0,151715.0,151730.0,151680.0,151695.0,4076.0,0.0,43832.0
1761747300.0,151715.0,151730.0,151680.0,151695.0,4135.0,0.0,44393.0
1761747300.0,151715.0,151730.0,151680.0,151690.0,4697.0,0.0,50569.0
1761747300.0,151715.0,151730.0,151680.0,151680.0,4766.0,0.0,51749.0
1761747300.0,151715.0,151730.0,151675.0,151690.0,4923.0,0.0,54147.0
1761747300.0,151715.0,151730.0,151675.0,151695.0,5032.0,0.0,55374.0
1761747300.0,151715.0,151730.0,151675.0,151690.0,5076.0,0.0,55728.0
1761747300.0,151715.0,151730.0,151675.0,151690.0,5130.0,0.0,56250.0
1761747300.0,151715.0,151730.0,151675.0,151685.0,5167.0,0.0,56414.0
1761747300.0,151715.0,151730.0,151675.0,151695.0,5225.0,0.0,56946.0
1761747300.0,151715.0,151730.0,151675.0,151695.0,5274.0,0.0,57443.0
1761747300.0,151715.0,151730.0,151675.0,151695.0,5321.0,0.0,57707.0
1761747300.0,151715.0,151730.0,151675.0,151695.0,5355.0,0.0,58124.0
1761747300.0,151715.0,151730.0,151675.0,151690.0,5408.0,0.0,58817.0
1761747300.0,151715.0,151730.0,151675.0,151685.0,5474.0,0.0,59861.0
1761747300.0,151715.0,151730.0,151675.0,151690.0,5522.0,0.0,60615.0
1761747600.0,151665.0,151690.0,151660.0,151680.0,359.0,0.0,5988.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
1761762600.0,151295.0,151295.0,151295.0,151295.0,26.0,0.0,21058.0
